,token,(n)heads_token,freq,mark,note,fix,ex_ref,ex,ex_node,ex_verse
10,אחרי,,4,b,no nhead,head fixed,Nehemiah 3:30,אַחֲרָ֨יו ,884413,אַחֲרָ֨יו הֶחֱזִ֜יק חֲנַנְיָ֣ה בֶן־שֶׁלֶמְיָ֗ה וְחָנ֧וּן בֶּן־צָלָ֛ף הַשִּׁשִּׁ֖י מִדָּ֣ה שֵׁנִ֑י ס אַחֲרָ֣יו הֶחֱזִ֗יק מְשֻׁלָּם֙ בֶּן־בֶּ֣רֶכְיָ֔ה נֶ֖גֶד נִשְׁכָּתֹֽו׃ ס 
38,אחריה,,1,b,no nhead,head fixed,2_Chronicles 11:20,אַחֲרֶ֣יהָ ,897487,וְאַחֲרֶ֣יהָ לָקַ֔ח אֶֽת־מַעֲכָ֖ה בַּת־אַבְשָׁלֹ֑ום וַתֵּ֣לֶד לֹ֗ו אֶת־אֲבִיָּה֙ וְאֶת־עַתַּ֔י וְאֶת־זִיזָ֖א וְאֶת־שְׁלֹמִֽית׃ 
39,אחריהם,,2,b,no nhead,head fixed,Genesis 48:6,אַחֲרֵיהֶ֖ם ,668648,וּמֹולַדְתְּךָ֛ אֲשֶׁר־הֹולַ֥דְתָּ אַחֲרֵיהֶ֖ם לְךָ֣ יִהְי֑וּ עַ֣ל שֵׁ֧ם אֲחֵיהֶ֛ם יִקָּרְא֖וּ בְּנַחֲלָתָֽם׃ 
40,אחריהן,,2,b,no nhead,head fixed,Genesis 41:27,אַחֲרֵיהֶ֗ן ,665677,וְשֶׁ֣בַע הַ֠פָּרֹות הָֽרַקֹּ֨ות וְהָרָעֹ֜ת הָעֹלֹ֣ת אַחֲרֵיהֶ֗ן שֶׁ֤בַע שָׁנִים֙ הֵ֔נָּה וְשֶׁ֤בַע הַֽשִׁבֳּלִים֙ הָרֵקֹ֔ות שְׁדֻפֹ֖ות הַקָּדִ֑ים יִהְי֕וּ שֶׁ֖בַע שְׁנֵ֥י רָעָֽב׃ 
41,אחריו,,22,b,no nhead,head fixed,Nehemiah 3:22,אַחֲרָ֛יו ,884359,וְאַחֲרָ֛יו הֶחֱזִ֥יקוּ הַכֹּהֲנִ֖ים אַנְשֵׁ֥י הַכִּכָּֽר׃ 
42,אחריך,,2,b,no nhead,head fixed,1_Kings 3:12,אַחֲרֶ֖יךָ ,754959,הִנֵּ֥ה עָשִׂ֖יתִי כִּדְבָרֶ֑יךָ הִנֵּ֣ה׀ נָתַ֣תִּי לְךָ֗ לֵ֚ב חָכָ֣ם וְנָבֹ֔ון אֲשֶׁ֤ר כָּמֹ֨וךָ֙ לֹא־הָיָ֣ה לְפָנֶ֔יךָ וְאַחֲרֶ֖יךָ לֹא־יָק֥וּם כָּמֹֽוךָ׃ 
59,ב.אחרית.מלכותם,אחרית,1,b,should be מלכותם,head fixed,Daniel 8:23,בְאַחֲרִית֙ מַלְכוּתָ֔ם ,879774,וּֽבְאַחֲרִית֙ מַלְכוּתָ֔ם כְּהָתֵ֖ם הַפֹּשְׁעִ֑ים יַעֲמֹ֛ד מֶ֥לֶךְ עַז־פָּנִ֖ים וּמֵבִ֥ין חִידֹֽות׃ 
113,ב.ה.חמשׁי,חמשׁי,1,b,this TP should be subsumed under the one immediately preceding it; the phrase boundary needs to be redrawn actually. Should pull comparable examples to validate this choice.,phrase2,Ezekiel 20:1,בַּֽחֲמִשִׁי֙ ,812472,וַיְהִ֣י׀ בַּשָּׁנָ֣ה הַשְּׁבִיעִ֗ית בַּֽחֲמִשִׁי֙ בֶּעָשֹׂ֣ור לַחֹ֔דֶשׁ בָּ֧אוּ אֲנָשִׁ֛ים מִזִּקְנֵ֥י יִשְׂרָאֵ֖ל לִדְרֹ֣שׁ אֶת־יְהוָ֑ה וַיֵּשְׁב֖וּ לְפָנָֽי׃ ס 
119,ב.ה.יום.ה.הוא.ב.יום,יום,1,b,"The second part of this TP, ביום, is separated from an infinitival clause that is part of it. The whole part is an appositional use. I should consider redrawing this TP, perhaps to include the inf. clause. Or I should consider creating a construction object that it can be subsumed under.",define construction,Ezekiel 38:18,בַּיֹּ֣ום הַה֗וּא בְּיֹ֨ום ,819264,וְהָיָ֣ה׀ בַּיֹּ֣ום הַה֗וּא בְּיֹ֨ום בֹּ֥וא גֹוג֙ עַל־אַדְמַ֣ת יִשְׂרָאֵ֔ל נְאֻ֖ם אֲדֹנָ֣י יְהוִ֑ה תַּעֲלֶ֥ה חֲמָתִ֖י בְּאַפִּֽי׃ 
134,ב.ה.יום.ה.שׁמיני.ו.הלאה,יום,1,b,missing הלאה,define construction,Ezekiel 43:27,בַיֹּ֨ום הַשְּׁמִינִ֜י וָהָ֗לְאָה ,820983,וִֽיכַלּ֖וּ אֶת־הַיָּמִ֑ים ס וְהָיָה֩ בַיֹּ֨ום הַשְּׁמִינִ֜י וָהָ֗לְאָה יַעֲשׂ֨וּ הַכֹּהֲנִ֤ים עַל־הַמִּזְבֵּ֨חַ֙ אֶת־עֹולֹֽותֵיכֶם֙ וְאֶת־שַׁלְמֵיכֶ֔ם וְרָצִ֣אתִי אֶתְכֶ֔ם נְאֻ֖ם אֲדֹנָ֥י יְהֹוִֽה׃ ס 
